번호,구분,화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치연월,WGS84위도,WGS84경도,화장실소유구분,화장실설치장소유형,오물처리방식,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자
1,공중화장실,인왕산 청운지구(1)(서시정 화장실),서울특별시 종로구 청운동 7-2,,N,1,2,1,1,1,0,3,1,1,종로구청 공원녹지과,,24시간,,37.5912058,126.9661878,지방자치단체,관광·체육시설,수세식,Y,,Y,Y,,,2020-04-07
2,공중화장실,인왕산 청운지구(2)(청운공원 화장실),서울특별시 종로구 청운동 7-3,,N,2,3,1,0,0,0,5,1,1,종로구청 공원녹지과,,24시간,,37.5910381,126.9662737,지방자치단체,관광·체육시설,수세식,Y,,Y,N,없음,,2020-04-07
3,공중화장실,창의문안내소 공중화장실(창의문 안내소 앞),서울특별시 종로구 청운동 산 1-1,,N,2,3,1,0,0,0,7,1,0,종로구청 공원녹지과,,24시간,,37.5913571,126.9718326,지방자치단체,관광·체육시설,수세식,Y,,Y,Y,,,2020-04-07
4,공중화장실,삼청근린공원(관리실 옆),서울특별시 종로구 삼청동 산2-1,,N,2,4,1,1,0,0,7,1,0,종로구청 공원녹지과,,24시간,,37.5926978,126.9817816,지방자치단체,관광·체육시설,수세식,Y,,Y,N,없음,,2020-04-07
5,공중화장실,삼청근린공원(약수터 위),서울특별시 종로구 삼청동 산2-1,,N,3,4,1,1,0,0,4,1,0,종로구청 공원녹지과,,24시간,,37.5926978,126.9817816,지방자치단체,관광·체육시설,수세식,Y,,Y,N,없음,,2020-04-07
6,공중화장실,와룡공원,서울특별시 종로구 명륜3가 산2-13,,N,1,2,1,0,0,0,3,1,0,종로구청 공원녹지과,,24시간,,37.5911709,126.9919660,지방자치단체,관광·체육시설,수세식,Y,,Y,N,없음,,2020-04-07
7,공중화장실,경희궁공원,서울특별시 종로구 신문로2가 2-1,,N,1,5,1,0,0,0,1,1,0,종로구청 공원녹지과,,24시간,,37.5707611,126.9688343,지방자치단체,관광·체육시설,수세식,Y,,Y,N,없음,,2020-04-07
8,공중화장실,숭인공원,서울특별시 종로구 숭인동 58,,N,2,2,1,0,0,0,4,1,0,종로구청 공원녹지과,,24시간,,37.5760572,127.0175576,지방자치단체,관광·체육시설,수세식,Y,,Y,N,없음,,2020-04-07
9,공중화장실,마로니에공원,서울특별시 종로구 동숭동 1-124,,N,4,4,1,0,0,1,9,1,0,종로구청 공원녹지과,,16시간,,37.5804855,127.0027037,지방자치단체,관광·체육시설,수세식,Y,,Y,N,없음,,2020-04-07
10,공중화장실,동묘공원,서울특별시 종로구 숭인동 238-1,,N,3,3,1,0,0,0,4,1,0,종로구청 공원녹지과,,9시간,,37.5729800,127.0183336,지방자치단체,관광·체육시설,수세식,Y,,Y,N,없음,,2020-04-07
11,공중화장실,탑골공원,서울특별시 종로구 종로2가 38-1,,N,10,16,1,0,0,0,3,1,0,종로구청 공원녹지과,,9시간,,37.5712053,126.9883479,지방자치단체,관광·체육시설,수세식,Y,,Y,N,없음,,2020-04-07
12,공중화장실,지봉골어린이공원,서울특별시 종로구 창신동 산6-25,,N,3,2,0,0,1,1,3,0,0,종로구청 공원녹지과,,24시간,,37.5788841,127.0146259,지방자치단체,관광·체육시설,수세식,Y,,Y,N,없음,,2020-04-07
13,공중화장실,산마루놀이터,서울특별시 종로구 창신동 23-350,,N,1,1,1,1,1,1,1,0,1,종로구청 공원녹지과,,9시간,,37.5755759,127.0124054,지방자치단체,관광·체육시설,수세식,Y,,Y,Y,,,2020-04-07
14,공중화장실,종묘광장,서울특별시 종로구 훈정동 2,,N,4,20,1,0,0,0,7,1,0,종로구청 공원녹지과,,24시간,,37.5715067,126.9950439,지방자치단체,관광·체육시설,수세식,Y,,Y,Y,,,2020-04-07
15,공중화장실,종로구청화장실,서울특별시 종로구 삼봉로 43,서울특별시 종로구 수송동 146-2,Y,37,48,2,0,0,0,35,2,0,종로구청 총무과,02-2148-1305,9시간,,37.5735207,126.9788345,지방자치단체,관광·체육시설,수세식,N,없음,N,Y,,,2020-03-27
16,공중화장실,보건소,서울 종로구 자하문로19길 36(옥인동; 종로구보건소; 청운효자동자치회관),서울특별시 종로구 옥인동45-30,N,7,7,0,0,0,0,10,0,0,종로보건소,02-2148-3518,평일9시간(09:00~18:00),,37.5818283,126.9692461,지방자치단체,관광·체육시설,수세식,N,없음,N,N,없음,,2020-04-16
17,공중화장실,돈의동쪽방상담소 화장실,서울특별시 돈화문로9가길 20-2,,N,3,3,1,2,0,0,3,1,0,돈의동쪽방상담소,02-747-9074,8시간,2018-04,37.5721537,126.9911790,지방자치단체,관광·체육시설,수세식,N,없음,N,N,없음,,2020-04-03
18,공중화장실,창신동쪽방상담소 화장실,서울시 종로구 종로 50라길 31,,Y,1,0,0,0,0,0,1,0,0,종로구청 사회복지과,02-3672-1264,9시간,2012-06,37.5702741,127.0144035,지방자치단체,관광·체육시설,수세식,N,없음,N,N,없음,,2020-04-03
19,공중화장실,장애인통합회관 화장실,서울특별시 종로구 종로17길 8; 3층,,N,0,1,1,1,0,0,1,1,0,종로구청 사회복지과,02-2148-2383,8시간,2010-03,37.5707233,126.9889815,지방자치단체,관광·체육시설,수세식,Y,장애인화장실+남자화장실+여자화장실,Y,Y,,,2020-03-26
20,공중화장실,종로구립장애인근로사업장(더해봄),서울특별시 종로구 대학로3길 14; 1층,,Y,0,0,0,0,0,0,1,0,0,종로구청 사회복지과,,8시간,,37.5741575,127.0014634,지방자치단체,관광·체육시설,수세식,N,없음,N,N,없음,,2020-03-30
21,공중화장실,북촌마을안내소공중화장실,서울특별시 종로구 북촌로5길 48,서울특별시 종로구 화동 2,N,1,2,1,0,1,0,5,1,1,종로구청 관광과,02-2148-1854,07:30~21:00,,37.5810398,126.9829524,지방자치단체,관광·체육시설,수세식,Y,,Y,Y,,,2020-04-16
22,공중화장실,신교공영주차장,서울 종로구 자하문로33길 89; 지하2층,,N,2,2,1,0,0,0,4,1,0,종로구시설관리공단 주차사업팀,02-2236-0052,08:00~18:30,2012-07,37.5856828,126.9666359,지방자치단체,관광·체육시설,수세식,N,없음,N,Y,,,2020-04-16
23,공중화장실,남인사마당 공중화장실,서울 종로구 인사동길 6 (인사동),서울특별시 종로구 인사동 43-2,Y,5,10,1,1,0,1,25,1,1,종로구시설관리공단,02-730-7282,24시간,2010-01,37.5714821,126.9873375,지방자치단체,관광·체육시설,수세식,Y,장애인화장실+남자화장실+여자화장실,Y,Y,,,2020-03-30
24,공중화장실,올림픽기념국민생활관,서울특별시 종로구 성균관로91,,N,2,2,1,0,0,0,3,1,0,종로구시설관리공단,02-2148-4057,월-금06:00~22:00 토-일09:00~18:00 공휴일 휴관,,37.5904911,126.9988244,지방자치단체,관광·체육시설,수세식,Y,,N,N,없음,,2020-04-20
25,공중화장실,종로구민회관,서울특별시 종로구 지봉로5길 7-5,,N,1,1,1,0,0,0,1,1,0,종로구시설관리공단,02-2148-4061,09:00~18:00,,37.5734590,127.0144451,공공기관,관광·체육시설,수세식,Y,,Y,Y,,,2020-04-20
26,공중화장실,종로문화체육센터,서울특별시 종로구 인왕산로1길 21,,N,2,3,1,1,1,1,7,1,1,종로구시설관리공단,02-732-9393,09:00~18:00,,37.5742531,126.9646648,공공기관,관광·체육시설,수세식,Y,,N,Y,,,2020-04-20
